TYPE,SOURCE,EDGES,TARGET
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction,QUERY,SaoMartinho/global/Queries/BuscaVersaoPrevistoMetaSelectQuery
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TRX,SaoMartinho/IPA/Transactions/PlanoRelatorioTransaction,CALL,SaoMartinho/global/Transactions/PlanoFormulaTransaction
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/Xct_ReceitasControle,CALL,Ger_CrtlRecipe
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_CrtlRecipe_SEL_INSTRUCTIONSMAPPING,SELECT,SAP_INSTRUCTIONSMAPPING
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_Update_MSEL_MSHD,CALL,Ger_Update_MSEL_MSHD
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_Features,SELECT,SAP_MSEL
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_Features,SELECT,SAP_CHARACTERISTICS
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Insert_ZCAN05,INSERT,SAP_ZCAN05
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_Data_Features,SELECT,SAP_MSEL
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/CtrlRecipeSyncron,CALL,IntSAP_CrtlRecipe_Send_Sync
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Update_ZCAN04,UPDATE,SAP_ZCAN04
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/InsumosRealDataSelectQuery,SELECT,UBV_MATERIAL_INSUMOS
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/InsumosRealDataSelectQuery,SELECT,UBV_INSUMOS_REAL
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/GetSchedStartOrderFixedQuery,SELECT,SAP_CRHE
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_ParadaMoenda_Insert,INSERT,SAP_PARADA_MOENDA
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_Mat_Storage,SELECT,SAP_MSEL
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_ParadaMoenda,SELECT,UBVISTA.SAP_PARADA_MOENDA
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_Calendar_NUBV_UpdateQuery,UPDATE,UBV_SAFRA_CENTRO
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/Xct_Status_Details,CALL,Ger_Movimentos_Details
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_Calendar_NUBV_SelectQuery,SELECT,UBV_SAFRA_CENTRO
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_Calendar_NUBV_InsertQuery,INSERT,UBV_SAFRA_CENTRO
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_ParadaMoenda_Update,UPDATE,SAP_PARADA_MOENDA
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Update_ZCAN05,UPDATE,SAP_ZCAN05
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Teste_Edinei,SELECT,UBV_INSUMOS_PREVISTO
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Insert_ZCAN04,INSERT,SAP_ZCAN04
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_Products,SELECT,SAP_CRTLRECIPE_TYPE
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_Update_SAP_MSHD,UPDATE,SAP_MSHD
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_ReceitasControle,SELECT,SAP_CRHE
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_CrtlRecipe_SEL_CRHE,SELECT,SAP_CRHE
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Insert_ZCAN03,INSERT,SAP_ZCAN03
